Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
10.198.0.166,10.58.200.24,6,22,32930,2238,573.927
10.58.200.24,10.198.0.166,6,32930,22,2106,573.927
46.101.61.18,10.198.0.166,6,52508,22,2200,2.476
10.198.0.166,46.101.61.18,6,22,52508,3297,2.178
104.248.140.212,10.198.0.166,6,50726,6002,54,0.000
10.198.0.166,104.248.140.212,6,6002,50726,54,0.000
170.64.152.136,10.198.0.166,6,1551,5902,62,0.000
10.198.0.166,170.64.152.136,6,5902,1551,54,0.000
93.174.93.55,10.198.0.166,6,56551,57377,54,0.000
10.198.0.166,93.174.93.55,6,57377,56551,54,0.000
138.197.184.254,10.198.0.166,6,48264,22,2234,2.975
10.198.0.166,138.197.184.254,6,22,48264,3363,2.703
212.73.148.31,10.198.0.166,6,48685,55527,66,0.000
10.198.0.166,212.73.148.31,6,55527,48685,54,0.000
111.183.8.139,10.198.0.166,6,22100,21,58,0.000
10.198.0.166,111.183.8.139,6,21,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,199,58,0.000
10.198.0.166,111.183.8.139,6,199,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,8080,58,0.000
10.198.0.166,111.183.8.139,6,8080,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,995,58,0.000
10.198.0.166,111.183.8.139,6,995,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,993,58,0.000
111.183.8.139,10.198.0.166,6,22100,1720,58,0.000
10.198.0.166,111.183.8.139,6,993,22100,54,0.000
10.198.0.166,111.183.8.139,6,1720,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,80,58,0.000
10.198.0.166,111.183.8.139,6,80,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,111,58,0.000
10.198.0.166,111.183.8.139,6,111,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,25,58,0.000
10.198.0.166,111.183.8.139,6,25,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,23,58,0.000
10.198.0.166,111.183.8.139,6,23,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,5900,58,0.000
10.198.0.166,111.183.8.139,6,5900,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,587,58,0.000
10.198.0.166,111.183.8.139,6,587,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,3389,58,0.000
10.198.0.166,111.183.8.139,6,3389,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,110,58,0.000
10.198.0.166,111.183.8.139,6,110,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,3306,58,0.000
10.198.0.166,111.183.8.139,6,3306,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,53,58,0.000
10.198.0.166,111.183.8.139,6,53,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1025,58,0.000
10.198.0.166,111.183.8.139,6,1025,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,256,58,0.000
10.198.0.166,111.183.8.139,6,256,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1723,58,0.000
10.198.0.166,111.183.8.139,6,1723,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,113,58,0.000
10.198.0.166,111.183.8.139,6,113,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,135,58,0.000
10.198.0.166,111.183.8.139,6,135,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,554,58,0.000
10.198.0.166,111.183.8.139,6,554,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,8888,58,0.000
10.198.0.166,111.183.8.139,6,8888,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,143,58,0.000
10.198.0.166,111.183.8.139,6,143,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,443,58,0.000
10.198.0.166,111.183.8.139,6,443,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,22,58,0.000
10.198.0.166,111.183.8.139,6,22,22100,348,31.546
111.183.8.139,10.198.0.166,6,22100,1058,58,0.000
10.198.0.166,111.183.8.139,6,1058,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,65129,58,0.000
10.198.0.166,111.183.8.139,6,65129,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,2222,58,0.000
10.198.0.166,111.183.8.139,6,2222,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,406,58,0.000
10.198.0.166,111.183.8.139,6,406,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,8093,58,0.000
10.198.0.166,111.183.8.139,6,8093,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,2043,58,0.000
10.198.0.166,111.183.8.139,6,2043,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,4242,58,0.000
10.198.0.166,111.183.8.139,6,4242,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,50500,58,0.000
111.183.8.139,10.198.0.166,6,22100,9000,58,0.000
10.198.0.166,111.183.8.139,6,50500,22100,54,0.000
10.198.0.166,111.183.8.139,6,9000,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,32781,58,0.000
10.198.0.166,111.183.8.139,6,32781,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,5718,58,0.000
10.198.0.166,111.183.8.139,6,5718,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,912,58,0.000
10.198.0.166,111.183.8.139,6,912,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,50000,58,0.000
10.198.0.166,111.183.8.139,6,50000,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,22939,58,0.000
10.198.0.166,111.183.8.139,6,22939,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,4321,58,0.000
10.198.0.166,111.183.8.139,6,4321,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,64623,58,0.000
10.198.0.166,111.183.8.139,6,64623,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,8085,58,0.000
10.198.0.166,111.183.8.139,6,8085,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1718,58,0.000
10.198.0.166,111.183.8.139,6,1718,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,10004,58,0.000
10.198.0.166,111.183.8.139,6,10004,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,6006,58,0.000
10.198.0.166,111.183.8.139,6,6006,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,2179,58,0.000
111.183.8.139,10.198.0.166,6,22100,646,58,0.000
10.198.0.166,111.183.8.139,6,2179,22100,54,0.000
10.198.0.166,111.183.8.139,6,646,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,3986,58,0.000
10.198.0.166,111.183.8.139,6,3986,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,843,58,0.000
111.183.8.139,10.198.0.166,6,22100,543,58,0.000
10.198.0.166,111.183.8.139,6,843,22100,54,0.000
10.198.0.166,111.183.8.139,6,543,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,56737,58,0.000
10.198.0.166,111.183.8.139,6,56737,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1461,58,0.000
10.198.0.166,111.183.8.139,6,1461,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,5999,58,0.000
111.183.8.139,10.198.0.166,6,22100,6009,58,0.000
10.198.0.166,111.183.8.139,6,5999,22100,54,0.000
10.198.0.166,111.183.8.139,6,6009,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,4567,58,0.000
10.198.0.166,111.183.8.139,6,4567,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,14238,58,0.000
10.198.0.166,111.183.8.139,6,14238,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,16001,58,0.000
10.198.0.166,111.183.8.139,6,16001,22100,54,0.000
137.184.227.77,10.198.0.166,6,53177,21501,54,0.000
10.198.0.166,137.184.227.77,6,21501,53177,54,0.000
111.183.8.139,10.198.0.166,6,22092,135,58,0.000
10.198.0.166,111.183.8.139,6,135,22092,54,0.000
111.183.8.139,10.198.0.166,6,22100,389,58,0.000
10.198.0.166,111.183.8.139,6,389,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,6565,58,0.000
10.198.0.166,111.183.8.139,6,6565,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,9,58,0.000
10.198.0.166,111.183.8.139,6,9,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,5910,58,0.000
10.198.0.166,111.183.8.139,6,5910,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,6005,58,0.000
10.198.0.166,111.183.8.139,6,6005,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,8654,58,0.000
10.198.0.166,111.183.8.139,6,8654,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,4003,58,0.000
10.198.0.166,111.183.8.139,6,4003,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1079,58,0.000
10.198.0.166,111.183.8.139,6,1079,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,19350,58,0.000
10.198.0.166,111.183.8.139,6,19350,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1719,58,0.000
10.198.0.166,111.183.8.139,6,1719,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,3367,58,0.000
10.198.0.166,111.183.8.139,6,3367,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,212,58,0.000
10.198.0.166,111.183.8.139,6,212,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,10009,58,0.000
10.198.0.166,111.183.8.139,6,10009,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,4001,58,0.000
10.198.0.166,111.183.8.139,6,4001,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,6789,58,0.000
10.198.0.166,111.183.8.139,6,6789,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,3476,58,0.000
10.198.0.166,111.183.8.139,6,3476,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,3052,58,0.000
10.198.0.166,111.183.8.139,6,3052,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1234,58,0.000
10.198.0.166,111.183.8.139,6,1234,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,49161,58,0.000
10.198.0.166,111.183.8.139,6,49161,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1113,58,0.000
10.198.0.166,111.183.8.139,6,1113,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,5003,58,0.000
10.198.0.166,111.183.8.139,6,5003,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,3351,58,0.000
10.198.0.166,111.183.8.139,6,3351,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,8194,58,0.000
10.198.0.166,111.183.8.139,6,8194,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,62078,58,0.000
10.198.0.166,111.183.8.139,6,62078,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,20222,58,0.000
10.198.0.166,111.183.8.139,6,20222,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,7103,58,0.000
10.198.0.166,111.183.8.139,6,7103,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,636,58,0.000
10.198.0.166,111.183.8.139,6,636,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,8084,58,0.000
10.198.0.166,111.183.8.139,6,8084,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,17877,58,0.000
10.198.0.166,111.183.8.139,6,17877,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,5060,58,0.000
10.198.0.166,111.183.8.139,6,5060,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1119,58,0.000
10.198.0.166,111.183.8.139,6,1119,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,3880,58,0.000
10.198.0.166,111.183.8.139,6,3880,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,8222,58,0.000
111.183.8.139,10.198.0.166,6,22100,3827,58,0.000
10.198.0.166,111.183.8.139,6,8222,22100,54,0.000
10.198.0.166,111.183.8.139,6,3827,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,10616,58,0.000
10.198.0.166,111.183.8.139,6,10616,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,7200,58,0.000
10.198.0.166,111.183.8.139,6,7200,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1165,58,0.000
10.198.0.166,111.183.8.139,6,1165,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,2909,58,0.000
10.198.0.166,111.183.8.139,6,2909,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1971,58,0.000
10.198.0.166,111.183.8.139,6,1971,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,4,58,0.000
10.198.0.166,111.183.8.139,6,4,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1029,58,0.000
10.198.0.166,111.183.8.139,6,1029,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,5054,58,0.000
10.198.0.166,111.183.8.139,6,5054,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,79,58,0.000
10.198.0.166,111.183.8.139,6,79,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,7741,58,0.000
10.198.0.166,111.183.8.139,6,7741,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,9090,58,0.000
10.198.0.166,111.183.8.139,6,9090,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1056,58,0.000
10.198.0.166,111.183.8.139,6,1056,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,45100,58,0.000
10.198.0.166,111.183.8.139,6,45100,22100,54,0.000
